,oncopanel_v1,oncopanel_v2,oncopanel_v3,msk_impact341,msk_impact410,msk_impact468,vicc_01_t5a,vicc_01_t7
HABP2,,,O,,,,,
HELQ,,,O,,,,,
HFE,,,O,,,,,
HMBS,,,O,,,,,
ID4,,,O,,,,,
INSIG1,,O,,,,,,
INSRR,O,,,,,,,
ITK,,,O,,,,,
JAZF1,,,O,,,,,
KAT6B,,,O,,,,,
KCNIP1,,O,,,,,,
KCNQ1,,,O,,,,,
KIF1B,,,O,,,,,
KLF2,,,O,,,,,
KLLN,,,O,,,,,
LIG4,,,O,,,,,
LINC00894,,O,,,,,,
MAF,,,O,,,,,
MAFB,,,O,,,,,
MBD4,,,O,,,,,
MCM8,,,O,,,,,
MLH3,,,O,,,,,
MTA1,,,O,,,,,
MTAP,,,O,,,,,
MUS81,,,O,,,,,
NEIL1,,,O,,,,,
NEIL2,,,O,,,,,
NEIL3,,,O,,,,,
NFKBIE,,,O,,,,,
NPRL2,,O,,,,,,
NPRL3,,O,,,,,,
NR0B1,,,O,,,,,
NRG1,,,O,,,,,
NT5C2,,,O,,,,,
OGG1,,,O,,,,,
PAXIP1,,,O,,,,,
PML,,,O,,,,,
PNKP,,,O,,,,,
POLB,,,O,,,,,
POLH,,,O,,,,,
POLQ,,,O,,,,,
POT1,,,O,,,,,
PTK2B,,,O,,,,,
PTPN14,,,O,,,,,
PVRL4,,,O,,,,,
RAD54B,,,O,,,,,
RBBP8,,,O,,,,,
RELA,,,O,,,,,
RHBDF2,,,O,,,,,
RHOH,,,O,,,,,
RHOT1,,,O,,,,,
RIF1,,,O,,,,,
RINT1,,,O,,,,,
RNF8,,,O,,,,,
RSPO3,,,O,,,,,
SDCCAG8,O,,,,,,,
SERPINA1,,,O,,,,,
SLC25A13,,,O,,,,,
SLC34A2,,,O,,,,,
SLITRK6,,O,,,,,,
SLX1A,,,O,,,,,
SLX1B,,,O,,,,,
SMARCE1,,,O,,,,,
SQSTM1,,O,,,,,,
